make,price,mpg
AMC Concord,4099,22
AMC Pacer,4749,17
AMC Spirit,3799,22
Buick Century,4816,20
Buick Electra,7827,15
Buick LeSabre,5788,18
Buick Opel,4453,26
Buick Regal,5189,20
Buick Riviera,10372,16
Buick Skylark,4082,19
Cad. Deville,11385,14
Cad. Eldorado,14500,14
Cad. Seville,15906,21
Chev. Chevette,3299,29
Chev. Impala,5705,16
Chev. Malibu,4504,22
Chev. Monte Carlo,5104,22
Chev. Monza,3667,24
Chev. Nova,3955,19
Dodge Colt,3984,30
Dodge Diplomat,4010,18
Dodge Magnum,5886,16
Dodge St. Regis,6342,17
Ford Fiesta,4389,28
Ford Mustang,4187,21
Linc. Continental,11497,12
Linc. Mark V,13594,12
Linc. Versailles,13466,14
Merc. Bobcat,3829,22
Merc. Cougar,5379,14
Merc. Marquis,6165,15
Merc. Monarch,4516,18
Merc. XR-7,6303,14
Merc. Zephyr,3291,20
Olds 98,8814,21
Olds Cutl Supr,5172,19
Olds Cutlass,4733,19
Olds Delta 88,4890,18
Olds Omega,4181,19
Olds Starfire,4195,24
Olds Toronado,10371,16
Plym. Arrow,4647,28
Plym. Champ,4425,34
Plym. Horizon,4482,25
Plym. Sapporo,6486,26
Plym. Volare,4060,18
Pont. Catalina,5798,18
Pont. Firebird,4934,18
Pont. Grand Prix,5222,19
Pont. Le Mans,4723,19
Pont. Phoenix,4424,19
Pont. Sunbird,4172,24
Audi 5000,9690,17
Audi Fox,6295,23
BMW 320i,9735,25
Datsun 200,6229,23
Datsun 210,4589,35
Datsun 510,5079,24
Datsun 810,8129,21
Fiat Strada,4296,21
Honda Accord,5799,25
Honda Civic,4499,28
Mazda GLC,3995,30
Peugeot 604,12990,14
Renault Le Car,3895,26
Subaru,3798,35
Toyota Celica,5899,18
Toyota Corolla,3748,31
Toyota Corona,5719,18
VW Dasher,7140,23
VW Diesel,5397,41
VW Rabbit,4697,25
VW Scirocco,6850,25
Volvo 260,11995,17
